
Network Stats for the last 2162 seconds:

Total Sent Spatial Packets: 887423
Total Requested to Send Spatial Packets: 2387493
Total Sent Actor Motion Hints Packets: 19780
Percentage of Usual Bandwidth Used: 37.72%


Total Sent: 1747212, 0B (68.08MB)
111 MoveActorDeltaPacket              18.10MB, Num 952173, Avg 19B
88  SetTitlePacket                    12.75MB, Num 81268, Avg 164B
136 ClientCacheMissResponsePacket     6.62MB, Num 2179, Avg 3.11KB
39  SetActorDataPacket                5.70MB, Num 307511, Avg 19B
174 SubChunkPacket                    4.88MB, Num 3147, Avg 1.59KB
172 UpdateSubChunkBlocksPacket        4.59MB, Num 13183, Avg 364B
13  AddActorPacket                    3.45MB, Num 4888, Avg 0.72KB
19  MovePlayerPacket                  2.17MB, Num 70297, Avg 32B
31  MobEquipmentPacket                1.60MB, Num 119144, Avg 14B
29  UpdateAttributesPacket            1.59MB, Num 7799, Avg 213B
40  SetActorMotionPacket              1.52MB, Num 100929, Avg 15B
123 LevelSoundEventPacket             1.44MB, Num 29631, Avg 50B
52  CraftingDataPacket                0.80MB, Num 1, Avg 0.80MB
63  PlayerListPacket                  0.56MB, Num 9, Avg 63.74KB
76  AvailableCommandsPacket           358.96KB, Num 1, Avg 358.96KB
25  LevelEventPacket                  324.12KB, Num 20411, Avg 16B
122 BiomeDefinitionListPacket         320.76KB, Num 1, Avg 320.76KB
49  InventoryContentPacket            296.99KB, Num 837, Avg 363B
15  AddItemActorPacket                220.78KB, Num 579, Avg 390B
58  LevelChunkPacket                  128.44KB, Num 6922, Avg 19B
191 FeatureRegistryPacket             126.07KB, Num 1, Avg 126.07KB
21  UpdateBlockPacket                 108.92KB, Num 8561, Avg 13B
162 ItemRegistryPacket                105.72KB, Num 1, Avg 105.72KB
56  BlockActorDataPacket              61.26KB, Num 392, Avg 160B
145 CreativeContentPacket             52.70KB, Num 1, Avg 52.70KB
14  RemoveActorPacket                 36.25KB, Num 5312, Avg 6B
27  ActorEventPacket                  36.12KB, Num 5846, Avg 6B
32  MobArmorEquipmentPacket           23.83KB, Num 556, Avg 43B
337 VoxelShapesPacket                 22.64KB, Num 1, Avg 22.64KB
199 UnlockedRecipesPacket             21.61KB, Num 3, Avg 7.20KB
124 LevelEventGenericPacket           21.02KB, Num 177, Avg 121B
313 JigsawStructureDataPacket         19.04KB, Num 1, Avg 19.04KB
121 NetworkChunkPublisherUpdatePacket 16.64KB, Num 265, Avg 64B
44  AnimatePacket                     12.68KB, Num 944, Avg 13B
344 SyncWorldClocksPacket             8.74KB, Num 485, Avg 18B
119 AvailableActorIdentifiersPacket   8.71KB, Num 1, Avg 8.71KB
341 LocatorBarPacket                  8.33KB, Num 196, Avg 43B
314 CurrentStructureFeaturePacket     7.07KB, Num 2412, Avg 3B
12  AddPlayerPacket                   6.83KB, Num 12, Avg 0.57KB
41  SetActorLinkPacket                6.00KB, Num 307, Avg 20B
30  InventoryTransactionPacket        2.75KB, Num 25, Avg 112B
326 PlayerLocationPacket              2.64KB, Num 138, Avg 19B
165 SyncActorPropertyPacket           1.91KB, Num 13, Avg 150B
65  LegacyTelemetryEventPacket        1.65KB, Num 65, Avg 26B
50  InventorySlotPacket               1.24KB, Num 63, Avg 20B
302 TrimDataPacket                    1.24KB, Num 1, Avg 1.24KB
320 CameraAimAssistPresetsPacket      1.07KB, Num 1, Avg 1.07KB
148 ItemStackResponsePacket           1.05KB, Num 35, Avg 30B
11  StartGamePacket                   1.02KB, Num 1, Avg 1.02KB
26  BlockEventPacket                  0.89KB, Num 114, Avg 8B
48  PlayerHotbarPacket                0.77KB, Num 198, Avg 4B
72  GameRulesChangedPacket            0.73KB, Num 1, Avg 0.73KB
316 CameraAimAssistPacket             0.70KB, Num 40, Avg 18B
9   TextPacket                        0.58KB, Num 8, Avg 73B
3   ServerToClientHandshakePacket     428B, Num 1, Avg 428B
198 CameraPresetsPacket               327B, Num 1, Avg 327B
157 MotionPredictionHintsPacket       238B, Num 14, Avg 17B
46  ContainerOpenPacket               208B, Num 23, Avg 9B
17  TakeItemActorPacket               131B, Num 32, Avg 4B
6   ResourcePacksInfoPacket           101B, Num 1, Avg 101B
47  ContainerClosePacket              96B, Num 24, Avg 4B
187 UpdateAbilitiesPacket             70B, Num 2, Avg 35B
7   ResourcePackStackPacket           65B, Num 1, Avg 65B
43  SetSpawnPositionPacket            49B, Num 3, Avg 16B
45  RespawnPacket                     45B, Num 3, Avg 15B
2   PlayStatusPacket                  20B, Num 4, Avg 5B
142 CompletedUsingItemPacket          16B, Num 2, Avg 8B
143 NetworkSettingsPacket             12B, Num 1, Avg 12B
70  ChunkRadiusUpdatedPacket          8B, Num 4, Avg 2B
